user_id,state,device_type,app_section,experience_rating,feedback_tag,session_duration_sec,is_crash
4993499d-4e2b-4250-b691-c2d4995e2fbc,Karnataka,Android,Search,2,Easy to Use,152,0
be935818-0195-4422-8f00-e07a9cc5dce3,Uttar Pradesh,Android,Notifications,4,Slow Loading,40,0
3f6e4a36-3958-4495-a425-ef52ff777807,Maharashtra,Android,Notifications,2,Confusing,235,0
d116b2fc-2d78-4ca2-b006-43185271438e,Delhi,Android,Profile,4,Feature-Rich,294,0
a028662b-b589-4dbf-8031-b4a5bd3b2dd6,Delhi,Android,Home,4,Crash,377,0
fa470e5d-e16f-4b4c-b94c-5572e56d5d24,Uttar Pradesh,iOS,Home,4,Crash,397,0
a2cf80db-d9ea-4cdc-a0d1-accf43c2cbe0,Delhi,iOS,Notifications,2,Crash,56,0
962dfc17-eab5-4f1d-884b-d98e8834b1f3,Delhi,Android,Profile,1,Confusing,294,0
710f84af-96cb-4efc-8449-7db884827353,Delhi,Android,Search,3,Easy to Use,283,0
895fab1e-250b-41d6-8e51-855290ccc66b,Karnataka,Android,Notifications,2,Great UI,483,0
83f7d552-cf0f-4b8f-8d1a-7ac445c14638,Uttar Pradesh,Android,Search,1,Easy to Use,42,0
031e0055-0a20-4abe-9311-fd9f4b7287f6,Tamil Nadu,iOS,Home,2,Feature-Rich,227,0
35faa714-fb45-45dc-9c84-4bc1ba078700,Tamil Nadu,iOS,Profile,3,Great UI,262,0
de8bc632-097b-416e-8bb6-65cd36177aa7,Uttar Pradesh,iOS,Notifications,4,Confusing,380,0
b86a8e92-fe8a-4939-99cc-6dcf2b73a74c,Maharashtra,iOS,Home,1,Crash,166,0
250e3184-e0ec-4049-ade0-1d9f220db4fa,Tamil Nadu,Android,Settings,4,Helpful,551,0
48d988c8-eef5-4639-9385-8213d230b0d9,Uttar Pradesh,Android,Home,5,Buggy,358,0
7be507e1-f4ba-4565-9082-9bd72d92bd62,Tamil Nadu,Android,Settings,1,Buggy,522,0
67656e36-28ca-4ca8-ad1e-475e8dcdef10,Uttar Pradesh,Android,Search,5,Easy to Use,166,0
b82fa486-b2fb-4118-af79-72bc956db6a7,Maharashtra,Android,Notifications,3,Helpful,29,0
eb9d2924-153e-484c-9bee-399e5844121c,Delhi,iOS,Profile,1,Easy to Use,590,1
